document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
10010001,albert einstein,Albert Einstein,PERSON,was,be,german,German,NORP,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,Albert Einstein,PERSON,was,be,theoretical physicist,http://www.wikidata.org/entity/Q19350898,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,Albert Einstein,PERSON,was,be,physicists,http://www.wikidata.org/entity/Q169470,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,german,German,NORP,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,theoretical physicist,http://www.wikidata.org/entity/Q19350898,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,physicists,http://www.wikidata.org/entity/Q169470,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,german,German,NORP,to be,to be,physicists,http://www.wikidata.org/entity/Q169470,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010001,theoretical physicist,http://www.wikidata.org/entity/Q19350898,Profession,to be,to be,physicists,http://www.wikidata.org/entity/Q169470,Profession,"Albert Einstein was a German-born theoretical physicist , widely acknowledged to be one of the greatest and most influential physicists of all time ."
10010002,albert einstein,Albert Einstein,PERSON,was,be,german,German,NORP,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,Albert Einstein,PERSON,was,be,physicist,http://www.wikidata.org/entity/Q169470,Profession,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,german,German,NORP,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,physicist,http://www.wikidata.org/entity/Q169470,Profession,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,Albert Einstein,PERSON,was,be,swiss,Swiss,NORP,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,Albert Einstein,PERSON,was,be,swiss,http://www.wikidata.org/entity/Q39,Country,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,swiss,Swiss,NORP,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010002,albert einstein,http://www.wikidata.org/entity/Q937,Person,was,be,swiss,http://www.wikidata.org/entity/Q39,Country,Albert Einstein was a German-born physicist with Swiss and US citizenship .
10010061,intellectual,http://www.wikidata.org/entity/Q58968,Profession,resulted,result,einstein,Einstein,PERSON,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010061,intellectual,http://www.wikidata.org/entity/Q58968,Profession,resulted,result,einstein,http://www.wikidata.org/entity/Q937,Person,His intellectual achievements and originality resulted in `` Einstein '' becoming synonymous with `` genius '' .
10010091,einstein,Einstein,PERSON,thought,think,mechanics,http://www.wikidata.org/entity/Q327029,Profession,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010091,einstein,http://www.wikidata.org/entity/Q937,Person,thought,think,mechanics,http://www.wikidata.org/entity/Q327029,Profession,"Einstein thought that the laws of classical mechanics could no longer be reconciled with those of the electromagnetic field , which led him to develop his special theory of relativity ."
10010181,einstein,Einstein,PERSON,was born,be bear,the german empire,the German Empire,GPE,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,Einstein,PERSON,was born,be bear,german,German,NORP,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,Einstein,PERSON,was born,be bear,german,http://www.wikidata.org/entity/Q188,Language,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,http://www.wikidata.org/entity/Q937,Person,was born,be bear,the german empire,the German Empire,GPE,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
10010181,einstein,http://www.wikidata.org/entity/Q937,Person,was born,be bear,german,German,NORP,"Einstein was born in the German Empire , but moved to Switzerland in 1895 , forsaking his German citizenship ( as a subject of the Kingdom of Württemberg ) [ note 1 ] the following year ."
