"subject_str","subject_id","subject_type","predicate_org","predicate","object_str","object_id","object_type","text"
"virginia","Virginia","GPE","took","take","maria","http://www.wikidata.org/entity/Q27602","Language","Virginia took the name Maria Celeste upon entering the convent ."
"riobamba","Riobamba","GPE","were","be","catholic","Catholic","NORP","Among other things , the report said that the large number of religious celebrations in Riobamba ( frequented by Indians ) were prejudicial to Catholic faith , agriculture , industry and the interests of the Crown ; also , that priests demanded money from the Indians for entrance into churches and for certain ceremonies , that priests in Riobamba were immoral and finally that most sermons were incomprehensible to the Indians ."
"mcbain","McBain","ORG","played","play","minor","http://www.wikidata.org/entity/Q28028610","Person","As a youth , McBain played in the 1977 and 1978 Quebec International Pee-Wee Hockey Tournaments with the Toronto Young Nationals minor ice hockey team ."
"falkowska","Falkowska","ORG","was","be","university","http://www.wikidata.org/entity/Q917874","Language","Falkowska was full professor and head of the Laboratory of Sea and Atmospheric Chemistry at the Institute of Oceanography , Faculty of Oceanography and Geography , University of Gdańsk ."
"editor","http://www.wikidata.org/entity/Q1607826","Profession","assembled","assemble","ben aaronovitch","Ben Aaronovitch","PERSON","Script editor Andrew Cartmel assembled several `` angry young writers '' such as Ben Aaronovitch and Rona Munro to produce storylines that they hoped would foment anti-Thatcher dissent ."
"producer","http://www.wikidata.org/entity/Q19826506","Profession","admitted","admit","quatermass","Quatermass","ORG","Former `` Doctor Who '' script editor and producer Derrick Sherwin admitted on a DVD documentary that the idea of setting more serials on contemporary Earth in the early 1970s was to recall a Quatermass feel ."
"xavier","Xavier","PERSON","assembles","assemble","the x-men","the X-Men","EVENT","When the X-Men are captured by the sentient island Krakoa , Xavier assembles a new team to rescue them , including Cyclops ' and Havok 's long-lost brother , Vulcan , along with Darwin , Petra , and Sway ."
"octavius","Octavius","ORG","routinely hacked into the systems of the market share to manipulate","routinely hack into the system of the market share to manipulate","parker industries","Parker Industries","ORG","Octavius routinely hacked into the systems of the market share to manipulate its numbers in favor of Parker Industries ."
"kassabian","Kassabian","PERSON","was born","be bear","minor","http://www.wikidata.org/entity/Q28028610","Person","Kassabian was born in Kayseri in the Cappadocia region of Asia Minor ."
"izmerov","Izmerov","PERSON","became","become","the ministry of health","the Ministry of health","ORG","Izmerov became Deputy head of the Department of external relations of the Ministry of health of the USSR in 1960 , and in 1962-64 — Deputy Minister of health , chief sanitary doctor of the RSFSR ."
"second doctor","http://www.wikidata.org/entity/Q2063885","Person","is an incarnation of","be a incarnation of","doctor","Doctor","WORK_OF_ART","The Second Doctor is an incarnation of the Doctor , the protagonist of the BBC science fiction television series `` Doctor Who '' ."
"victoria","Victoria","GPE","to accept","to accept","australia","Australia","GPE","On 26 May 2019 , Victorian Senator Mitch Fifield chose to accept a position as the Permanent Australian Representative in the United Nations , leaving the possibility that the Liberal Party would choose Henderson to fill the casual vacancy caused by Fifield 's eventual resignation to accept the role ."
"middlebrook","Middlebrook","PERSON","is  of","be   of","university","http://www.wikidata.org/entity/Q917874","Language","One year after his second divorce , Djerassi began a relationship with Diane Middlebrook , a Stanford University professor of English and biographer ."
"alexandre tiedtke quintanilha","http://www.wikidata.org/entity/Q4720890","Person","is","be","director","http://www.wikidata.org/entity/Q5280518","Profession","Alexandre Tiedtke Quintanilha , ( born August 9 , 1945 in Lourenço Marques ( now Maputo ) , Mozambique ) is a Portuguese scientist , former director of the Instituto de Biologia Molecular e Celular ( Institute of Molecular and Cell Biology ) of the University of Porto and Professor at ICBAS - Abel Salazar Institute of Biomedical Sciences ."
"keely","Keely","PRODUCT","died","die","philadelphia","Philadelphia","GPE","Keely died at his home in Philadelphia from pneumonia on November 18 , 1898 ."
"thomas","Thomas","PERSON","taught","teach","world war ii","World War II","EVENT","Thomas taught at the University of Chicago during World War II , and was a chemist with Food and Container Institute at the Chicago Quartermaster Depot beginning in 1945 ."
"psycho","Psycho","WORK_OF_ART","appears","appear","yanick paquette","Yanick Paquette","PERSON","Doctor Psycho appears as a primary antagonist in the second volume of ' by writer Grant Morrison and artist Yanick Paquette ."
"parker","Parker","PERSON","carries on","carry on","spider","Spider","PERSON","In the MC2 imprint , Peter marries Mary Jane and has a daughter named Mayday Parker , who carries on Spider-Man 's legacy and Marvel Noir has a 1930s version of Peter Parker ."
"amina mohammed","Amina Mohammed","PERSON","is the 's current Deputy General of","be the have current Deputy General of","nigeria","http://www.wikidata.org/entity/Q1033","Country","In 2017 , Dekil was appointed by the Nigeria 's former Minister of Environment and current Deputy Secretary General of the United Nations , Amina Mohammed as project coordinator for the hydrocarbon pollution remediation project HYPREP ."
"missy","Missy","PERSON","are summoned","be summon","doctor","Doctor","WORK_OF_ART","In the series 9 premiere `` The Magician 's Apprentice '' / '' The Witch 's Familiar '' ( 2015 ) , the Doctor , along with Clara and Missy , who survived her apparent disintegration , are summoned to the planet Skaro by The Doctor 's nemesis Davros ( Julian Bleach ) , the creator of the evil Dalek race , who is dying ."
"yugoslav army","Yugoslav Army","ORG","was not","be not","western","http://www.wikidata.org/entity/Q1939221","Language","Commenting on the Yugoslav Wars , in a 1991 interview for Croatian Radiotelevision , she was critical of Western governments for not recognising the breakaway republics of Croatia and Slovenia as independent and for not supplying them with arms after the Serbian-led Yugoslav Army attacked ."
"barbaro","Barbaro","ORG","may have designed","may have design","murano","Murano","GPE","Barbaro may have designed the Palazzo Trevisan in Murano , alone or in collaboration with Palladio ."
"riemannian","Riemannian","GPE","is","be","minkowski","Minkowski","LOC","For instance , they showed that if is a spacelike hypersurface of Minkowski space which is topologically closed and has constant mean curvature , then the induced Riemannian metric on is complete ."
"cerebro","Cerebro","PERSON","by employing","by employ","xavier","Xavier","FAC","Due to the tampering of Bastion and his Sentinels , the X-Mansion computer system Cerebro gains autonomy and seeks to destroy the X-Men by employing its knowledge of the Xavier Protocols ."
"kantrowitz","Kantrowitz","PERSON","was","be","fellow","http://www.wikidata.org/entity/Q1404101","Award","Kantrowitz was a fellow of the American Academy of Arts and Sciences , American Association for the Advancement of Science , American Astronautical Society , American Institute of Aeronautics and Astronautics ( honorary ) , American Physical Society , American Institute for Medical and Biological Engineering and member of the National Academy of Engineering and National Academy of Sciences and International Academy of Astronautics ."
"doctor","http://www.wikidata.org/entity/Q96633923","Award","was formally ended","be formally end","doctor","http://www.wikidata.org/entity/Q4618975","Award","Whereas Pertwee obtained it during his service in the Royal Navy , an in-universe reason for it was eventually provided in the New Adventures novel `` Christmas on a Rational Planet '' as being a Time Lord symbol signifying exile , removed once the Doctor 's exile was formally ended following the events of `` The Three Doctors '' ."
"baker","http://www.wikidata.org/entity/Q160131","Profession","received","receive","doctor of science","http://www.wikidata.org/entity/Q2248352","Award","Baker received an honorary Doctor of Science degree from the University North Carolina in 1998 ."
"helfand","Helfand","PERSON","joined","join","quest university","Quest University","ORG","Helfand joined Quest University Canada in British Columbia , Canada , as a Visiting Tutor in 2007 ."
"jewish","http://www.wikidata.org/entity/Q9268","Belief","wrote","write","israel","http://www.wikidata.org/entity/Q801","Country","In 1989 , in `` Justice , and Only Justice '' , Ateek wrote , `` The preservation of Israel as a Jewish state is important not only to Israeli Jews but to Jews all over the world ."
"united states","http://www.wikidata.org/entity/Q30","Country","could adopt","can adopt","world war ii","World War II","EVENT","Despite no longer personally partaking in the habit , in 1943 Fuller suggested Dymaxion sleep as a strategy that the United States could adopt to win World War II ."
"maharogi sewa samiti","Maharogi Sewa Samiti","PERSON","intended to incorporate","intend to incorporate","anandwan","Anandwan","GPE","She also led the installation of solar power panels at the community , resulting in Maharogi Sewa Samiti receiving an award for Innovative Energy Project of the Year 2016 from the Association of Energy Engineers , and intended to incorporate more smart technology into the community in future to make Anandwan a smart village ."
"dumont","Dumont","PERSON","provided considered","provide consider","france","http://www.wikidata.org/entity/Q142","Country","Dumont placed himself and his flotilla of three aircraft at the disposal of the government in the event of foreign hostility , provided it was not against the nations of the Americas and that , `` in the impossible event of war between France and Brazil , '' Dumont considered himself obliged to place himself on the side of his motherland ."
"professor thorton","http://www.wikidata.org/entity/Q7248194","Person","activates","activate","project x","Project X","PRODUCT","Professor Thorton activates a robotic android named Shiva which is programmed to destroy all of Project X 's test subjects starting with Wolverine ."
"cotana","Cotana","PERSON","is","be","member","http://www.wikidata.org/entity/Q59820617","Award","Franco Cotana ( b. Marsciano , 22 December 1957 ) is an Italian engineer , scientist , and a member of the Board of Directors of the University of Perugia from 2014 to 2019 ."
"george","George","PERSON","points","point","spider-man","Spider-Man","FAC","After the Jackal breaks up the fight and shows Spider-Man around the New U , the George Stacy clone recognizes something off about Gwen 's face and points his gun at her ."
"models","http://www.wikidata.org/entity/Q1630100","Profession","exist","exist","magnet","http://www.wikidata.org/entity/Q6731415","Person","Two different models exist for magnets : magnetic poles and atomic currents ."
"ter-petrosyan","Ter-Petrosyan","PERSON","is","be","syria","Syria","GPE","Ter-Petrosyan is fluent in 12 languages namely Armenian ( mother tongue ) , French , German , English , Russian , Arabic ( his birth country 's official and national language ) , Turkish as well as Assyrian and several extinct languages such as Latin , Aramaic , ancient Greek and ancient Hebrew ."
"einstein","Einstein","ORG","wrote","write","language","http://www.wikidata.org/entity/Q36848","Language","In a German-language letter to philosopher Eric Gutkind , dated 3 January 1954 , Einstein wrote : The word God is for me nothing more than the expression and product of human weaknesses , the Bible a collection of honorable , but still primitive legends which are nevertheless pretty childish ."
"producer","http://www.wikidata.org/entity/Q13235160","Profession","stated","state","fourth doctor","Fourth Doctor","WORK_OF_ART","The producer of Baker 's early seasons , Philip Hinchcliffe , stated that the Fourth Doctor 's bohemian appearance and anti-establishment style appealed to older , college-age students ."
"olpin","Olpin","ORG","started","start","the a. ray olpin union building","the A. Ray Olpin Union Building","FAC","Olpin started a 10-year building program in which 30 buildings were completed , including the Milton Bennion Hall , the Merrill Engineering Building , and the A. Ray Olpin Union Building ."
"wallace","Wallace","ORG","was","be","the farncombe institute","the Farncombe Institute","ORG","John L. Wallace ( born September 25 , 1956 ) is a medical scientist and was the founder of the Inflammation Research Network at The University of Calgary and inaugural director of the Farncombe Institute at McMaster University ."
"high evolutionary","http://www.wikidata.org/entity/Q2568013","Person","played a key role in saving","play a key role in save","earth","Earth","LOC","The High Evolutionary played a key role in saving the Earth from Chthon , and rescued Galactus from death despite his attempts to consume Counter-Earth ."
"manhunter","Manhunter","PERSON","learns","learn","society","Society","ORG","Martian Manhunter looks into Doctor Psycho 's mind and learns that he was sent to Kahndaq by the Secret Society , but did not do anything to control Superman 's mind ."
"humboldt","Humboldt","GPE","expected","expect","russia","http://www.wikidata.org/entity/Q159","Country","Humboldt 's mother expected them to become civil servants of the Prussian state ."
"doctor","http://www.wikidata.org/entity/Q96633923","Award","were defended","be defend","institute","Institute","ORG","During the period of the leadership of Khudoyor Yusufbekov , two doctoral and more than 30 candidate dissertations were defended by just the staff of the biostation and the institute alone ."
"the swamp thing","The Swamp Thing","PERSON","travels the Green recruiting","travel the Green recruit","the phantom stranger","the Phantom Stranger","PRODUCT","The Swamp Thing travels through the Green to the afterlife , recruiting the help of Deadman , the Phantom Stranger , the Spectre and Etrigan ."
"glanville","Glanville","PERSON","is","be","businessperson","http://www.wikidata.org/entity/Q911554","Profession","Jacob Eli Gunn Glanville is an American computational immunoengineer and businessperson ."
"merrill","Merrill","ORG","was","be","the 1960s","the 1960s","DATE","In the 1960s and 1970s Merrill was a pioneer in the development of the artificial kidney , analysis of its transport characteristics and optimization of hemodialyzer membranes ."
"maibach","Maibach","PERSON","was","be","university","http://www.wikidata.org/entity/Q917874","Language","Before joining the faculty at George Mason , Maibach was the associate director of the National Cancer Institute , Worldwide Director of Social Marketing at Porter Novelli and a professor of Public Health at Emory University ."
"elliot","Elliot","PERSON","faced","face","titan","http://www.wikidata.org/entity/Q3445811","Language","Elliott next faced former UFC Bantamweight Pedro Nobre at Titan FC 37 on March 5 , 2016 ."
"doctor","http://www.wikidata.org/entity/Q96633923","Award","appears","appear","wonder woman","Wonder Woman","PERSON","Doctor Psycho appears in the second story from `` Wonder Woman '77 '' , a series based on the Wonder Woman TV series , though he did not have any appearances in that television series ."
"steltzner","Steltzner","PERSON","speaks publicly","speak publicly","curiosity","Curiosity","PRODUCT","Steltzner speaks publicly on the topics of leadership , innovation , team building , and the power of curiosity and exploration ."
"hardwich","Hardwich","ORG","held","hold","lecturer","http://www.wikidata.org/entity/Q1553123","Profession","Thomas Frederick Hardwich held the positions of Curator of laboratory ( 1850-1854 ) ; Demonstrator of Chemistry ( 1851-1854 ) ; and , Lecturer of Photography ( 1857-1860 ) ."
"magneto","Magneto","FAC","sought human/mutant co-existence in Xavier 's name- even naming","seek human / mutant co - existence in Xavier have name- even name","charles","Charles","PERSON","As a result , Magneto founded the X-Men and sought human/mutant co-existence in Xavier 's name- even naming his new son with Rogue 'Charles ' after his friend- but Haller 's rampage also prompted Apocalypse to awaken decades before the world was ready for him , resulting in Apocalypse conquering North America and most of the world , eventually forcing Magneto 's X-Men to attempt a daring mission to gain the power necessary to go back in time and save Xavier from Haller as they recognised how vital Xavier was to the future ."
"russian","http://www.wikidata.org/entity/Q7737","Language","said","say","state","State","ORG","As the world has seen , Dr. Rodchenkov provided credible and irrefutable evidence of the Russian state-sponsored doping system , '' Walden said in a statement. ``"
"doctor","http://www.wikidata.org/entity/Q4618975","Profession","were joined","be join","security agent","http://www.wikidata.org/entity/Q856887","Profession","The Doctor and Steven were next briefly joined by Trojan slave Katarina and a security agent from 4000 AD Sara Kingdom , but both were killed during the events of `` The Daleks ' Master Plan '' , where the Daleks plotted to invade Earth 's Solar System in 4000 AD , before being destroyed when the Doctor activated their weapon the Time Destructor ."
"yaalon","Yaalon","GPE","was","be","geoderma","Geoderma","WORK_OF_ART","Another of Yaalon 's editorial works was a special issue of `` Geoderma '' entitled `` Climatic and Lithostratigraphic Significance of Paleosols '' , summarizing a symposium of the same name held in Ottawa , Canada ."
"comenius","http://www.wikidata.org/entity/Q12735","Person","took","take","leszno","Leszno","GPE","Comenius took refuge in Leszno in Poland , where he led the gymnasium and , furthermore , was given charge of the Bohemian and Moravian churches ."
"alberti","Alberti","GPE","distinguished","distinguish","craftsman","http://www.wikidata.org/entity/Q57260825","Profession","As an artist , Alberti distinguished himself from the ordinary craftsman educated in workshops ."
"scientist","http://www.wikidata.org/entity/Q901","Profession","not to receive","not to receive","nobel","http://www.wikidata.org/entity/Q7191","Award","The Nobel laureate Arne Tiselius said that Avery was the most deserving scientist not to receive the Nobel Prize for his work , though he was nominated for the award throughout the 1930s , 1940s , and 1950s ."
"maria","http://www.wikidata.org/entity/Q3448673","Language","attended","attend","the academy","http://www.wikidata.org/entity/Q3233780","Academia of Science","In 1714 , one of Menghini 's colleagues in the Academy of Sciences , Domenico Gusmano Maria Galeazzi ( 1686-1775 ) , attended meetings in Paris at the Academy of Sciences where they discussed the presence of iron in the ashes of incinerated vegetables ."
"divine","Divine","PERSON","was awarded","be award","position","http://www.wikidata.org/entity/Q11488158","Award","Divine was awarded a full tuition scholarship and the position of research assistant to pursue graduate studies at California Institute of Technology ( Caltech ) ."
"the swamp thing","The Swamp Thing","WORK_OF_ART","travels","travel","green","Green","LOC","To set things right , the Swamp Thing travels into the Green , the Spirit World , and Hell , all to reclaim Abby 's soul ."
"shope","Shope","WORK_OF_ART","held","hold","john s. dunn","John S. Dunn","PERSON","Shope subsequently held the university 's John S. Dunn Distinguished Chair in Biodefense ."
"jonathon keats","Jonathon Keats","PERSON","described","describe","proust","Proust","WORK_OF_ART","Jonathon Keats at `` Salon '' , writing as an artist , approached the `` conceit '' noted by McManus from the opposing perspective , and described `` Proust '' as being written `` arbitrarily and often inaccurately '' ."
"university","http://www.wikidata.org/entity/Q917874","Language","is National of","be National of","kazakh","Kazakh","NORP","In 1984 , he graduated from the Faculty of Agricultural Mechanization in the Kazakh National Agrarian University as a mechanical engineer ."
