document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
144170,gwen stacy,Gwen Stacy,PERSON,first appears as,first appear as,girl at peter 's high school,girl at peter 's high school,Unknown,"In the Ultimate Marvel universe , Gwen Stacy first appears in "" Ultimate Spider - Man "" # 14 ( December 2001 ) as a teenage girl at Peter 's high school ."
51339049,thoguluva shesadri chandrasekar,http://www.wikidata.org/entity/Q26465786,Person,is,be,indian gastroenterologist,indian gastroenterologist,Unknown,"Thoguluva Shesadri Chandrasekar ( born 1956 ) is an Indian gastroenterologist and the founder chairman of Medindia Hospitals , a healthcare facility based in Chennai ."
70631,humboldt,Humboldt,PERSON,was disappointed on,be disappointed on,postponement of captain baudin 's proposed voyage,postponement of captain baudin 's proposed voyage,Unknown,"On the postponement of Captain Baudin 's proposed voyage of circumnavigation due to continuing warfare in Europe , which Humboldt had been officially invited to accompany , Humboldt was deeply disappointed ."
21318911,geisler,Geisler,PRODUCT,come up with,come up with,made onion sauce for dog vendors sell,made onion sauce for dog vendors sell,Unknown,Papalexis asked Geisler to come up with a factory - made onion sauce for the hot dog vendors to sell at their carts in New York City .
57888684,hope van dyne,Hope van Dyne,PERSON,was,be,referenced as one many examples of strong female representation portrayed,referenced as one many examples of strong female representation portrayed,Unknown,""" In an analysis about Peter Parker 's romantic interest , MJ , Hope van Dyne was referenced as one of many examples of strong female representation as portrayed by the Marvel Cinematic Universe by Karen Han in a report from "" Vanity Fair "" ."
145842,hodgkin,Hodgkin,ORG,won,win,prize,prize,Unknown,"Huxley and Hodgkin won the prize for experimental and mathematical work on the process of nerve action potentials , the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system ."
41532896,university,University,ORG,including number is,include number be,christian albrechts universitat in kiel,christian albrechts universitat in kiel,Unknown,"During his career , he has been a visiting professor or fellow at a number of universities around the world , including the University of Kent in Canterbury , England , Christian - Albrechts - Universitat in Kiel , West Germany , the London School of Economics , and Yonsei University in Seoul , South Korea ."
1080745,tonegawa,Tonegawa,PRODUCT,showed,show,marked reduction of fxs symptoms in mouse model,marked reduction of fxs symptoms in mouse model,Unknown,"With one dosage of the inhibitor drug FRAX586 , Tonegawa showed a marked reduction of FXS symptoms in the mouse model ."
756418,luzhkov,Luzhkov,PERSON,initiated,initiate,reconstruction,reconstruction,Unknown,"In 2008 , Luzhkov initiated reconstruction of St Clement 's Church and Khitrovskaya Square ."
26564527,sabbath,Sabbath,EVENT,robbing,rob,doctor,doctor,Unknown,"A man named Sabbath , an eighteenth - century secret agent gifted with time travel abilities , excised the blackened organ , both saving the Doctor 's life and robbing the Doctor of some of his higher Time Lord abilities , including his respiratory bypass system and his ability to metabolise toxins ."
32658806,faruque,Faruque,ORG,maintained,maintain,active research team,active research team,Unknown,"Faruque maintained an active research team in icddr , b for over two decades , and then moved to BRAC University to strengthen life science research in one of the nation 's premier private universities ."
25867961,littauer,Littauer,PERSON,teach for,teach for,next thirty years,next thirty years,Unknown,Littauer continued to teach and write for the next thirty years .
48886233,shuter,Shuter,ORG,customized consultations on,customize consultation on,multinational organizational communication issues,multinational organizational communication issues,Unknown,"Throughout the 1980s , 1990s , and 2000s , Shuter also provided customized consultations on multinational organizational communication issues to international corporations throughout Asia , Europe , and the United States , including Asea Brown Boveri , Atlas Copco , Danfoss , Novo Nordisk , Siemens , and Tetra Pak ."
61729155,mackenzie,Mackenzie,PERSON,travelled to,travel to,relief work in famine of 1921 1922,relief work in famine of 1921 1922,Unknown,Mackenzie then travelled to Russia in 1922 to organise relief work in the Russian famine of 1921 - 1922 .
65955846,petersen,Petersen,PERSON,was,be,deputy director at center for advanced study at stanford,deputy director at center for advanced study at stanford,Unknown,"From August 2006 to June 2009 , Petersen was a deputy director and professor at the Center for Advanced Study in the Behavioral Sciences at Stanford ."
63485243,paul ehmayr,Paul Ehmayr,PERSON,was,be,rocket engineer,rocket engineer,Unknown,"Paul Ehmayr ( born October 28 , 1909 in Vienna , † 1993 in Linz ; sometimes incorrectly spelled as Ehmayer or Ehmeyer ) was a German - Austrian rocket engineer ."
1021540,sexton,Sexton,PERSON,will receive,will receive,length of service bonus,length of service bonus,Unknown,Sexton will receive a length of service bonus of $ 2.5 million in 2015 .
25698841,henderson,Henderson,PERSON,nonetheless has almost always voted on,nonetheless have almost always vote on,question government should ensure,question government should ensure,Unknown,"Nonetheless , on the floor of Parliament , on the question on whether the federal government should ensure that all Australians have access to abortion services , Henderson has almost always voted along party lines ."
19831,thatcher,http://www.wikidata.org/entity/Q20600868,Profession,reformed government taxes by,reform government tax by,rates with community charge,rates with community charge,Unknown,Thatcher reformed local government taxes by replacing domestic rates ( a tax based on the nominal rental value of a home ) with the Community Charge ( or poll tax ) in which the same amount was charged to each adult resident .
27302119,vulko,http://www.wikidata.org/entity/Q27907532,Person,was,be,during dan abnett 's run mysteriously released during corum rath uprising,during dan abnett 's run mysteriously released during corum rath uprising,Unknown,"During Dan Abnett 's run , Vulko was mysteriously released from his jail during the Corum Rath uprising ."
2361661,massey,Massey,ORG,responded by,respond by,helping,helping,Unknown,"At the same time , Massey responded to the lack of outside connections by helping form the Argonne National Laboratory - University of Chicago Development Corporation ( ARCH ) , an organization that expedited the transfer of technologies created in the laboratory to industry and the marketplace ."
45295355,lydia jane roberts,http://www.wikidata.org/entity/Q19664066,Person,was pioneering nutritionist in,be pioneering nutritionist in,especially government nutrition standards,especially government nutrition standards,Unknown,"Lydia Jane Roberts was a pioneering nutritionist in childhood nutrition , especially in creating government nutrition standards like the Recommended Dietary Allowances ( RDA ) of minerals and vitamins ."
26564527,doctor,http://www.wikidata.org/entity/Q4618975,Profession,gains,gain,new companion chosen from four companions,new companion chosen from four companions,Unknown,"In "" Situation Vacant "" the Doctor gains a new companion , Tamsin Drew , chosen from four prospective companions ."
64695,frink,Frink,ORG,was featured in,be feature in,addition,addition,Unknown,"In addition , Frink was featured on the cover of the issue of "" TV Guide "" ."
70631,alexander von humboldt,http://www.wikidata.org/entity/Q6694,Person,is,be,ship named built by shipyard ag weser at bremen,ship named built by shipyard ag weser at bremen,Unknown,""" Alexander von Humboldt "" is also a German ship named after the scientist , originally built in 1906 by the German shipyard AG Weser at Bremen as Reserve Sonderburg ."
3999,mandelbrot,Mandelbrot,PERSON,began as,begin as,professor,professor,Unknown,"As a visiting professor at Harvard University , Mandelbrot began to study fractals called Julia sets that were invariant under certain transformations of the complex plane ."
26564527,master,http://www.wikidata.org/entity/Q1641418,Profession,is,be,sucked,sucked,Unknown,"However , the Doctor and his companion Dr Grace Holloway ( Daphne Ashbrook ) are able to prevent the Earth 's destruction , and the Master is sucked into the Eye ."
1896765,griffith,Griffith,PERSON,made,make,first flight across english channel in to france by air,first flight across english channel in to france by air,Unknown,"Griffith claims to have made the first intentional flight across the English Channel in "" To France by Air "" ."
30873261,heutsz,Heutsz,PERSON,implement,implement,snouck 's ideal,snouck 's ideal,Unknown,The relationship between Heutsz and Snouck deteriorated when Heutsz proved unwilling to implement Snouck 's ideal for an ethical and enlightened administration .
736,einstein,Einstein,PERSON,wrote,write,while traveling,while traveling,Unknown,"While traveling , Einstein wrote daily to his wife Elsa and adopted stepdaughters Margot and Ilse ."
65589221,attinger,Attinger,ORG,published,publish,two source databases,two source databases,Unknown,"Attinger and colleagues published two open source databases of bloodstain patterns , scanned in high resolution and freely available for research or teaching purposes ."
16559,jean grey,Jean Grey,PERSON,appears as,appear as,fictional character,fictional character,Unknown,"As a fictional character in the Marvel Universe , Jean Grey appears in various alternate plot lines and fictional universes ."
